"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Hurricane Irma (September 2017)","Tropical Cyclone",20170906,20170912,62000.0,97
"Hurricane Maria (September 2017)","Tropical Cyclone",20170919,20170921,111600.0,2981
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)","Drought",20170301,20171231,3150.0,0
"Western Wildfires, California Firestorm (Summer-Fall 2017)","Wildfire",20170601,20171231,22506.3,54
"Central and Eastern Winter Storm (January 2018)","Winter Storm",20180103,20180105,1293.4,22
"Northeast Winter Storm (March 2018)","Winter Storm",20180301,20180303,2698.7,9
"Southeastern Tornadoes and Severe Weather (March 2018)","Severe Storm",20180318,20180321,1786.1,0
"Southern and Eastern Tornadoes and Severe Weather (April 2018)","Severe Storm",20180413,20180416,1621.4,3
"Central and Northeast Severe Weather (May 2018)","Severe Storm",20180501,20180504,1710.0,0
"Central and Eastern Severe Weather (May 2018)","Severe Storm",20180513,20180515,1685.1,5
"Texas Hail Storm (June 2018)","Severe Storm",20180606,20180606,1586.0,0
"Colorado Hail Storm (June 2018)","Severe Storm",20180613,20180613,1165.1,0
"Colorado Hail Storm (June 2018)","Severe Storm",20180618,20180619,2712.1,0
"Central and Eastern Tornadoes and Severe Weather (July 2018)","Severe Storm",20180719,20180722,1933.7,0
"Mountain West Severe Weather (July 2018)","Severe Storm",20180726,20180729,1038.2,0
"Rockies and Plains Hail Storms (August 2018)","Severe Storm",20180806,20180807,1250.5,0
"Hurricane Florence (September 2018)","Tropical Cyclone",20180913,20180916,29280.0,53
"Hurricane Michael (October 2018)","Tropical Cyclone",20181010,20181011,30219.8,49
"Southwest/Southern Plains Drought (Summer-Fall 2018)","Drought",20180601,20181230,3707.6,0
"Western Wildfires, California Firestorm (Summer-Fall 2018)","Wildfire",20180601,20181231,29280.0,106
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)","Severe Storm",20190223,20190225,1497.4,2
"Texas Hail Storm (March 2019)","Severe Storm",20190322,20190324,1857.4,0
"Missouri River and North Central Flooding (March 2019)","Flooding",20190314,20190331,13087.0,3
"Southern and Eastern Tornadoes and Severe Weather (April 2019)","Severe Storm",20190413,20190414,1502.4,7
"South and Southeast Severe Weather (May 2019)","Severe Storm",20190507,20190513,1816.8,0
"Central Severe Weather (May 2019)","Severe Storm",20190516,20190518,1167.6,0
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)","Severe Storm",20190526,20190529,5517.6,3
"Arkansas River Flooding (June 2019)","Flooding",20190520,20190614,3630.0,5
"Colorado Hail Storms (July 2019)","Severe Storm",20190704,20190705,1209.6,0
"Mississippi River, Midwest and Southern Flooding (July 2019)","Flooding",20190315,20190731,7464.7,4
"Hurricane Dorian (September 2019)","Tropical Cyclone",20190828,20190906,1932.0,10
"Tropical Storm Imelda (September 2019)","Tropical Cyclone",20190917,20190921,6000.0,5
"Texas Tornadoes and Central Severe Weather (October 2019)","Severe Storm",20191020,20191020,2044.4,2
"California and Alaska Wildfires (Summer-Fall 2019)","Wildfire",20190601,20191130,5400.0,3
"Southeast Tornadoes and Northern Storms and Flooding (January 2020)","Severe Storm",20200110,20200112,1367.6,10
"South, East and Northeast Severe Weather (February 2020)","Severe Storm",20200205,20200207,1495.0,3
"Tennessee Tornadoes and Southeast Severe Weather (March 2020)","Severe Storm",20200302,20200304,2779.9,25
"Midwest and Ohio Valley Severe Weather (March 2020)","Severe Storm",20200327,20200328,3044.3,0
"North Central and Ohio Valley Hail Storms and Severe Weather (April 2020)","Severe Storm",20200407,20200408,3457.2,0
"Southeast and Eastern Tornado Outbreak (April 2020)","Severe Storm",20200412,20200413,4132.8,35
"Southern Severe Weather (April 2020)","Severe Storm",20200421,20200423,1620.0,3
"Central, Southern and Eastern Severe Weather (April 2020)","Severe Storm",20200427,20200430,1232.4,1
"Central and Eastern Severe Weather (May 2020)","Severe Storm",20200503,20200505,2535.6,2
"South, Central and Eastern Severe Weather (May 2020)","Severe Storm",20200520,20200523,1900.8,2
"South Texas Hail Storms (May 2020)","Severe Storm",20200527,20200527,1680.0,0
"Central Severe Weather (July 2020)","Severe Storm",20200710,20200711,1423.4,0
"Hurricane Hanna (July 2020)","Tropical Cyclone",20200725,20200726,1268.5,0
"Hurricane Isaias (August 2020)","Tropical Cyclone",20200803,20200804,5613.1,16
"Central Severe Weather - Derecho (August 2020)","Severe Storm",20200810,20200810,13122.2,4
"Hurricane Laura (August 2020)","Tropical Cyclone",20200827,20200828,27393.7,42
"Hurricane Sally (September 2020)","Tropical Cyclone",20200915,20200917,8583.2,5
"Hurricane Delta (October 2020)","Tropical Cyclone",20201009,20201011,3383.1,5
"Hurricane Zeta (October 2020)","Tropical Cyclone",20201028,20201029,5135.3,6
"Tropical Storm Eta (November 2020)","Tropical Cyclone",20201108,20201112,1722.8,12
"Western/Central Drought and Heat Wave (Summer-Fall 2020)","Drought",20200601,20201230,5304.1,45
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)","Wildfire",20200801,20201230,19411.0,46
"California Flooding and Severe Weather (January 2021)","Flooding",20210124,20210129,1281.2,2
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)","Winter Storm",20210210,20210219,26543.0,262
"Southeast Tornadoes and Severe Weather (March 2021)","Severe Storm",20210324,20210325,1945.4,6
"Eastern Severe Weather (March 2021)","Severe Storm",20210327,20210328,1561.5,8
"Texas Hail Storms (April 2021)","Severe Storm",20210412,20210415,1711.0,0
"Texas and Oklahoma Severe Weather (April 2021)","Severe Storm",20210427,20210428,3652.8,0
"Southern Tornadoes and Southeast Severe Weather (May 2021)","Severe Storm",20210502,20210504,1441.0,4
"Louisiana Flooding (May 2021)","Flooding",20210517,20210518,1530.1,5
